experiment,epoch,train_rmse,test_rmse,train_mae,test_mae
disttransformer_100_epoch,83,0.0608,0.0604,0.0416,0.0403
disttransformer_100_epoch,84,0.0606,0.0604,0.0415,0.0407
disttransformer_100_epoch,85,0.0606,0.0603,0.0415,0.0404
disttransformer_100_epoch,86,0.0608,0.0602,0.0416,0.0398
disttransformer_100_epoch,87,0.0607,0.0601,0.0417,0.0401
disttransformer_100_epoch,88,0.0605,0.0607,0.0414,0.0411
disttransformer_100_epoch,89,0.0606,0.0611,0.0415,0.04
disttransformer_100_epoch,90,0.0603,0.06,0.0413,0.0402
disttransformer_100_epoch,91,0.0607,0.0601,0.0416,0.0401
disttransformer_100_epoch,92,0.0602,0.0604,0.0412,0.0408
disttransformer_100_epoch,93,0.0603,0.06,0.0413,0.0401
disttransformer_100_epoch,94,0.0601,0.0601,0.0411,0.0401
disttransformer_100_epoch,95,0.06,0.0603,0.0411,0.04
disttransformer_100_epoch,96,0.0601,0.06,0.0412,0.0402
disttransformer_100_epoch,97,0.0599,0.0601,0.041,0.0399
disttransformer_100_epoch,98,0.0599,0.0603,0.041,0.0405
disttransformer_100_epoch,99,0.06,0.0606,0.0411,0.0411
disttransformer_100_epoch,100,0.06,0.0611,0.0411,0.0401
disttransformer_500_epoch_logged,1,0.1409,0.1054,0.1089,0.0847
disttransformer_500_epoch_logged,50,0.063,0.0609,0.0435,0.0403
disttransformer_500_epoch_logged,100,0.0597,0.0596,0.041,0.0397
disttransformer_500_epoch_logged,150,0.0565,0.0596,0.039,0.039
disttransformer_500_epoch_logged,200,0.054,0.0595,0.0376,0.0392
disttransformer_500_epoch_logged,250,0.0522,0.0609,0.0365,0.0393
disttransformer_500_epoch_logged,300,0.0507,0.0606,0.0357,0.0391
disttransformer_500_epoch_logged,350,0.0494,0.0607,0.0349,0.0393
disttransformer_500_epoch_logged,400,0.0484,0.0611,0.0343,0.0394
disttransformer_500_epoch_logged,450,0.0474,0.0616,0.0337,0.0395
disttransformer_500_epoch_logged,500,0.0469,0.0612,0.0335,0.0394
