experiment,window_size,sample_size,train_split,test_split,final_train_rmse,final_test_rmse,final_train_mae,final_test_mae,test_window_rmse_mean,test_window_rmse_std,test_window_mae_mean,test_window_mae_std,pearson_true_vs_predicted_distances
disttransformer_100_epoch,21,8000,80%,20%,0.06,0.0611,0.0411,0.0401,0.0574,0.0209,0.0401,0.014,0.8253
disttransformer_500_epoch,21,8000,80%,20%,0.0469,0.0612,0.0335,0.0394,0.0569,0.0225,0.0394,0.0145,0.8248
